case_id,case_summary,created_at,channel,case_type,category,plan_tier,customer_tenure_months,priority
ND-2025-000016,link to the knowledge base in the footer 404s,2025-01-06 16:40:00+00:00,email,service_request,bug,pro,10,Low
ND-2025-000017,locked out of my account after too many tries,2025-01-07 09:05:22+00:00,webchat,incident,access_permissions,standard,2,Urgent
ND-2025-000018,how do i filter the polaris widget by fiscal year?,2025-01-07 10:30:11+00:00,email,service_request,how_to_training,pro,4,Medium
ND-2025-000019,payment failed notification received but card is valid,2025-01-07 14:20:55+00:00,email,incident,billing_payments,enterprise,15,High
ND-2025-000020,data missing from q4 summary widget,2025-01-08 08:15:40+00:00,in_app,service_request,data_reporting,pro,7,High
ND-2025-000021,interested in upgrading to enterprise for the sso features,2025-01-08 09:45:12+00:00,webchat,service_request,other,free,0,Low
ND-2025-000022,where do i start with creating a new report?,2025-01-08 11:55:05+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000023,pdf export formatting is misaligned,2025-01-08 15:10:30+00:00,email,incident,bug,pro,9,Medium
ND-2025-000024,unrecognized login attempt flagged on orbit id,2025-01-09 08:50:00+00:00,phone,incident,security_privacy,enterprise,18,Urgent
ND-2025-000025,my widgets aren't refreshing automatically,2025-01-09 10:25:15+00:00,webchat,service_request,how_to_training,standard,5,Medium
ND-2025-000026,update billing contact to finance@company.com,2025-01-09 13:40:50+00:00,email,service_request,account_admin,pro,11,Low
ND-2025-000027,getting random 500 errors when saving polaris boards,2025-01-10 09:00:22+00:00,in_app,incident,performance_outage,standard,6,High
ND-2025-000028,is there a video tutorial for the hubspot connector?,2025-01-10 11:15:33+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000029,app crashes when viewing large charts on iphone,2025-01-10 14:50:45+00:00,webchat,incident,bug,pro,8,Medium
ND-2025-000030,help me set up,2025-01-11 08:30:10+00:00,email,service_request,how_to_training,free,2,Medium
ND-2025-000031,xero fields not mapping correctly to polaris widgets,2025-01-11 10:05:55+00:00,email,service_request,integrations,pro,13,High
ND-2025-000032,forgot password for orbit id,2025-01-11 13:20:20+00:00,webchat,incident,access_permissions,standard,4,Medium
ND-2025-000033,docs are unclear about api rate limits,2025-01-12 09:15:00+00:00,email,service_request,how_to_training,pro,3,Low
ND-2025-000034,colour palette looks wrong in dark mode,2025-01-12 11:40:15+00:00,in_app,service_request,bug,standard,5,Low
ND-2025-000035,date filter excludes the last day of the month,2025-01-12 15:05:30+00:00,email,incident,data_reporting,pro,10,High
ND-2025-000036,requesting refund for accidental annual subscription,2025-01-13 08:45:50+00:00,phone,incident,billing_payments,standard,2,Urgent
ND-2025-000037,adding a polaris board seems complicated,2025-01-13 10:10:12+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000038,need to invite a contractor to view one board only,2025-01-13 12:30:05+00:00,webchat,service_request,access_permissions,pro,7,Medium
ND-2025-000039,reports are timing out completely,2025-01-13 16:00:40+00:00,email,incident,performance_outage,enterprise,30,Urgent
ND-2025-000040,how do i customize the widget axis?,2025-01-14 09:20:25+00:00,email,service_request,how_to_training,standard,2,Low
ND-2025-000041,is this the pizza place?,2025-01-14 11:50:15+00:00,in_app,service_request,other,free,0,Low
ND-2025-000042,webhooks for updated deals aren't firing,2025-01-14 14:15:33+00:00,email,incident,integrations,pro,16,High
ND-2025-000043,guide me through the dashboard setup please,2025-01-15 08:40:00+00:00,webchat,service_request,how_to_training,standard,1,Medium
ND-2025-000044,latest v2 update broke my custom css,2025-01-15 10:05:45+00:00,email,incident,bug,pro,12,High
ND-2025-000045,change user role from viewer to admin,2025-01-15 13:25:20+00:00,email,service_request,access_permissions,standard,4,Medium
ND-2025-000046,cancel my account immediately,2025-01-16 09:10:10+00:00,phone,incident,account_admin,standard,6,Urgent
ND-2025-000047,how to use northstar?,2025-01-16 11:30:55+00:00,webchat,service_request,how_to_training,free,1,Medium
ND-2025-000048,timestamps on the board are in utc not gmt,2025-01-16 14:45:30+00:00,email,incident,data_reporting,standard,5,Medium
ND-2025-000049,can i embed a polaris widget in an external site?,2025-01-17 08:20:05+00:00,in_app,service_request,how_to_training,standard,3,Low
ND-2025-000050,menu doesn't open on firefox,2025-01-17 10:55:40+00:00,email,incident,bug,pro,9,Medium
ND-2025-000051,complete newbie here need help with polaris boards,2025-01-17 13:15:15+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000052,lost my phone need 2fa reset for orbit id,2025-01-18 09:30:50+00:00,webchat,incident,access_permissions,enterprise,22,Urgent
ND-2025-000053,best practices for structuring data for the connector?,2025-01-18 11:45:22+00:00,email,service_request,how_to_training,pro,8,Low
ND-2025-000054,need a vat receipt for december,2025-01-18 15:00:10+00:00,email,incident,billing_payments,standard,10,Low
ND-2025-000055,screen freezes when i click the export button,2025-01-19 08:50:35+00:00,in_app,service_request,bug,standard,4,High
ND-2025-000056,where is the tutorial for new users?,2025-01-19 10:15:05+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000057,shopify connector says service unavailable,2025-01-19 13:40:40+00:00,webchat,incident,integrations,pro,14,High
ND-2025-000058,examples of kpi dashboards please,2025-01-20 09:05:15+00:00,email,service_request,how_to_training,free,3,Low
ND-2025-000059,total system down 500 errors everywhere,2025-01-20 11:25:55+00:00,phone,incident,performance_outage,enterprise,25,Urgent
ND-2025-000060,reset password link expired,2025-01-20 14:55:30+00:00,email,service_request,access_permissions,standard,6,Medium
ND-2025-000061,help setting up the first board,2025-01-21 08:35:10+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000062,why does the widget take 10 mins to refresh?,2025-01-21 10:40:45+00:00,in_app,service_request,data_reporting,pro,8,Medium
ND-2025-000063,it crashed,2025-01-21 13:15:20+00:00,webchat,incident,bug,standard,5,High
ND-2025-000064,what can a viewer do on a polaris board?,2025-01-22 09:00:00+00:00,email,service_request,how_to_training,standard,2,Low
ND-2025-000065,downgraded to standard but still charged pro rate,2025-01-22 11:30:35+00:00,email,incident,billing_payments,pro,11,Medium
ND-2025-000066,need assistance configuring google auth for orbit id,2025-01-22 14:50:10+00:00,webchat,service_request,access_permissions,enterprise,20,High
ND-2025-000067,start guide for northstar?,2025-01-23 08:45:55+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000068,data deletion request under gdpr,2025-01-23 10:20:25+00:00,phone,incident,security_privacy,pro,9,Urgent
ND-2025-000069,do you have an agency partnership program?,2025-01-23 13:10:40+00:00,email,service_request,other,free,0,Low
ND-2025-000070,my connector says connected but no data appearing,2025-01-24 09:15:15+00:00,in_app,service_request,how_to_training,standard,4,Medium
ND-2025-000071,broken link,2025-01-24 11:40:50+00:00,email,incident,bug,pro,7,Low
ND-2025-000072,how do i add my first polaris board?,2025-01-24 14:25:30+00:00,webchat,service_request,how_to_training,standard,1,Medium
ND-2025-000073,nobody can log in via orbit id right now,2025-01-25 08:55:05+00:00,email,incident,performance_outage,enterprise,35,Urgent
ND-2025-000074,need audit logs for user activity last week,2025-01-25 10:50:45+00:00,email,service_request,account_admin,pro,13,Medium
ND-2025-000075,how to share a board link?,2025-01-25 13:30:10+00:00,in_app,service_request,how_to_training,standard,3,Low
ND-2025-000076,api rate limit exceeded on salesforce connector,2025-01-26 09:10:35+00:00,webchat,incident,integrations,pro,12,High
ND-2025-000077,new account setup help,2025-01-26 11:25:20+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000078,account locked please unlock,2025-01-26 14:45:55+00:00,email,incident,access_permissions,standard,5,Urgent
ND-2025-000079,update credit card details before expiry,2025-01-27 08:30:25+00:00,phone,incident,billing_payments,pro,10,Urgent
ND-2025-000080,configuring the dashboard layout,2025-01-27 10:15:40+00:00,webchat,service_request,how_to_training,standard,2,Medium
ND-2025-000081,v2 update broke my saved reports,2025-01-27 13:00:15+00:00,email,incident,bug,pro,15,High
ND-2025-000082,i need help with my first polaris board,2025-01-28 09:20:50+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000083,export button greyed out,2025-01-28 11:45:30+00:00,in_app,service_request,data_reporting,standard,6,Medium
ND-2025-000084,cant login,2025-01-28 14:30:10+00:00,webchat,incident,access_permissions,free,3,Medium
ND-2025-000085,best way to visualize churn data?,2025-01-29 08:50:45+00:00,email,service_request,how_to_training,pro,9,Low
ND-2025-000086,severe lag when loading the main board,2025-01-29 10:40:20+00:00,email,incident,performance_outage,enterprise,18,High
ND-2025-000087,setting up the account,2025-01-29 13:15:55+00:00,webchat,service_request,how_to_training,standard,1,Medium
ND-2025-000088,invoice amount is wrong for january,2025-01-30 09:05:35+00:00,email,incident,billing_payments,pro,12,Urgent
ND-2025-000089,text overlapping on the settings page,2025-01-30 11:25:10+00:00,in_app,service_request,bug,standard,5,Low
ND-2025-000090,do you have templates for marketing dashboards?,2025-01-30 14:50:45+00:00,email,service_request,how_to_training,standard,2,Medium
ND-2025-000091,sso certificate expired on orbit id,2025-01-31 08:30:20+00:00,webchat,incident,access_permissions,enterprise,14,High
ND-2025-000092,walkthrough for creating charts?,2025-01-02 15:20:10+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000093,hubspot sync timing out consistently,2025-01-03 09:55:40+00:00,email,incident,integrations,pro,11,High
ND-2025-000094,change organization name,2025-01-04 13:40:25+00:00,webchat,service_request,account_admin,pro,7,Medium
ND-2025-000095,new user guide please,2025-01-05 08:45:15+00:00,in_app,service_request,how_to_training,standard,1,Medium
ND-2025-000096,submitting annual pen test results,2025-01-06 11:30:50+00:00,email,incident,security_privacy,enterprise,24,Low
ND-2025-000097,received a dunning email but i paid yesterday,2025-01-07 14:15:30+00:00,phone,incident,billing_payments,standard,5,Urgent
ND-2025-000098,how do i archive an old polaris board?,2025-01-08 09:10:05+00:00,email,service_request,how_to_training,standard,3,Low
ND-2025-000099,mobile view is broken on android,2025-01-09 11:55:45+00:00,webchat,incident,bug,pro,8,Medium
ND-2025-000100,reset password,2025-01-10 15:20:10+00:00,email,service_request,access_permissions,standard,2,Medium
ND-2025-000101,hi how do i use this,2025-01-11 08:50:35+00:00,in_app,service_request,how_to_training,standard,1,Medium
ND-2025-000102,user cannot see the shared report despite permissions,2025-01-12 10:40:20+00:00,email,incident,data_reporting,pro,9,High
ND-2025-000103,looking for video guides on advanced filtering,2025-01-13 13:30:55+00:00,webchat,service_request,how_to_training,standard,2,Low
ND-2025-000104,csv export is corrupt,2025-01-14 09:05:30+00:00,email,incident,bug,pro,6,Medium
ND-2025-000105,system is crawling today really bad latency,2025-01-15 11:25:15+00:00,phone,incident,performance_outage,enterprise,32,Urgent
ND-2025-000106,help with setup,2025-01-16 14:45:50+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000107,invitation link not working for new user,2025-01-17 08:35:05+00:00,webchat,service_request,access_permissions,standard,5,Medium
ND-2025-000108,oauth token for xero expired unexpectedly,2025-01-18 10:15:40+00:00,email,incident,integrations,pro,13,High
ND-2025-000109,configure widget,2025-01-19 13:00:25+00:00,in_app,service_request,how_to_training,free,2,Medium
ND-2025-000110,stop sending me weekly digest emails,2025-01-20 09:20:00+00:00,email,service_request,account_admin,standard,4,Low
ND-2025-000111,button alignment off in safari,2025-01-21 11:45:35+00:00,webchat,incident,bug,pro,7,Medium
ND-2025-000112,new user onboarding,2025-01-22 15:10:10+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000113,my card was declined but i have funds,2025-01-23 08:50:45+00:00,phone,incident,billing_payments,pro,15,Urgent
ND-2025-000114,forgot password again,2025-01-24 10:30:20+00:00,email,service_request,access_permissions,standard,3,Medium
ND-2025-000115,how to organize multiple boards?,2025-01-25 13:45:55+00:00,webchat,service_request,how_to_training,pro,5,Low
ND-2025-000116,endless spinner when opening the sales board,2025-01-26 09:05:30+00:00,email,incident,performance_outage,standard,10,High
ND-2025-000117,tutorial link?,2025-01-27 11:20:05+00:00,in_app,service_request,how_to_training,standard,1,Medium
ND-2025-000118,revenue showing as usd but should be gbp,2025-01-28 14:55:40+00:00,email,incident,data_reporting,pro,8,Medium
ND-2025-000119,seo optimization services for you,2025-01-29 08:40:15+00:00,webchat,service_request,other,free,0,Low
ND-2025-000120,adding a board,2025-01-30 10:15:50+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000121,auth error on custom api connector,2025-01-02 13:10:25+00:00,email,incident,integrations,pro,14,High
ND-2025-000122,ceo is locked out of orbit id,2025-01-03 15:35:00+00:00,phone,incident,access_permissions,enterprise,20,Urgent
ND-2025-000123,first time setup,2025-01-04 09:25:35+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000124,404 on the help page,2025-01-05 11:50:10+00:00,webchat,incident,bug,free,3,Low
ND-2025-000125,how do i duplicate a widget?,2025-01-06 14:15:45+00:00,email,service_request,how_to_training,standard,6,Medium
ND-2025-000126,query execution time is too high,2025-01-07 08:30:20+00:00,in_app,incident,performance_outage,pro,17,High
ND-2025-000127,setup assistance required,2025-01-08 10:45:55+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000128,refund for unused seat,2025-01-09 13:00:30+00:00,webchat,incident,billing_payments,standard,4,Medium
ND-2025-000129,assign manager role to new hire,2025-01-10 09:35:05+00:00,email,service_request,access_permissions,pro,9,Medium
ND-2025-000130,font rendering issue on chrome,2025-01-11 11:50:40+00:00,email,incident,bug,standard,5,Low
ND-2025-000131,reporting a potential xss vulnerability,2025-01-12 14:15:15+00:00,phone,incident,security_privacy,enterprise,28,Urgent
ND-2025-000132,how to get started,2025-01-13 08:50:50+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000133,salesforce sync failed overnight,2025-01-14 10:25:25+00:00,webchat,incident,integrations,pro,12,High
ND-2025-000134,docs on json formatting are confusing,2025-01-15 13:40:00+00:00,email,service_request,how_to_training,standard,3,Low
ND-2025-000135,add 5 new users,2025-01-16 09:05:35+00:00,in_app,service_request,account_admin,pro,8,Medium
ND-2025-000136,charts broken after yesterday's update,2025-01-17 11:20:10+00:00,email,incident,bug,pro,14,High
ND-2025-000137,onboarding assistance,2025-01-18 14:45:45+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000138,forgot pass,2025-01-19 08:30:20+00:00,webchat,incident,access_permissions,free,2,Medium
ND-2025-000139,dashboard is unusable due to lag,2025-01-20 10:55:55+00:00,email,incident,performance_outage,enterprise,19,High
ND-2025-000140,query about line item on invoice,2025-01-21 13:10:30+00:00,phone,service_request,billing_payments,standard,6,Medium
ND-2025-000141,need help adding widgets,2025-01-22 09:15:05+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000142,mobile app closes immediately on launch,2025-01-23 11:40:40+00:00,webchat,incident,bug,pro,10,High
ND-2025-000143,export to pdf cuts off the bottom,2025-01-24 14:05:15+00:00,email,service_request,data_reporting,standard,7,Medium
ND-2025-000144,how do i change chart colours?,2025-01-25 08:50:50+00:00,in_app,service_request,how_to_training,standard,4,Low
ND-2025-000145,403 forbidden on api endpoint,2025-01-26 10:30:25+00:00,email,incident,integrations,pro,13,High
ND-2025-000146,guide for new users?,2025-01-27 13:00:00+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000147,account locked out,2025-01-28 09:20:35+00:00,webchat,incident,access_permissions,standard,3,Urgent
ND-2025-000148,recommendation for sales dashboard layout?,2025-01-29 11:45:10+00:00,email,service_request,how_to_training,pro,8,Low
ND-2025-000149,complete service failure,2025-01-30 14:10:45+00:00,phone,incident,performance_outage,enterprise,40,Urgent
ND-2025-000150,setup help,2025-01-31 08:35:20+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000151,glitch in the menu,2025-01-02 10:15:55+00:00,webchat,incident,bug,standard,5,Medium
ND-2025-000152,where do i find the connector settings?,2025-01-03 13:40:30+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000153,cant remember password,2025-01-04 09:05:05+00:00,in_app,service_request,access_permissions,free,2,Medium
ND-2025-000154,rate limit errors on shopify sync,2025-01-05 11:25:40+00:00,email,incident,integrations,pro,11,High
ND-2025-000155,change billing address,2025-01-06 14:50:15+00:00,email,service_request,account_admin,pro,9,Low
ND-2025-000156,show me examples of finance boards,2025-01-07 08:30:50+00:00,webchat,service_request,how_to_training,standard,3,Medium
ND-2025-000157,link to terms of service is dead,2025-01-08 10:55:25+00:00,email,incident,bug,standard,6,Low
ND-2025-000158,everything is moving in slow motion,2025-01-09 13:20:00+00:00,phone,incident,performance_outage,enterprise,22,Urgent
ND-2025-000159,i need a walkthrough,2025-01-10 09:40:35+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000160,pricing for 50 users?,2025-01-11 12:05:10+00:00,webchat,service_request,other,free,0,Low
ND-2025-000161,sso configuration error 500,2025-01-12 14:30:45+00:00,email,incident,access_permissions,enterprise,15,High
ND-2025-000162,setting up custom filters,2025-01-13 09:10:20+00:00,in_app,service_request,how_to_training,standard,4,Medium
ND-2025-000163,charged twice for the same month,2025-01-14 11:35:55+00:00,email,incident,billing_payments,pro,8,Urgent
ND-2025-000164,onboarding docs?,2025-01-15 13:50:30+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000165,page freezes on load,2025-01-16 08:50:05+00:00,webchat,incident,bug,pro,7,High
ND-2025-000166,data gap in q4 reports,2025-01-17 10:15:40+00:00,email,service_request,data_reporting,pro,10,High
ND-2025-000167,new setup,2025-01-18 14:40:15+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000168,enforce mfa for all users immediately,2025-01-19 09:25:50+00:00,phone,incident,security_privacy,enterprise,12,Urgent
ND-2025-000169,how to use the forecast widget?,2025-01-20 11:50:25+00:00,email,service_request,how_to_training,standard,5,Low
ND-2025-000170,edge browser not rendering charts correctly,2025-01-21 13:00:00+00:00,webchat,incident,bug,pro,9,Medium
ND-2025-000171,onboarding steps,2025-01-22 08:45:35+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000172,incorrect field mapping from hubspot,2025-01-23 10:10:10+00:00,email,incident,integrations,pro,14,High
ND-2025-000173,password help,2025-01-24 14:35:45+00:00,in_app,service_request,access_permissions,standard,2,Medium
ND-2025-000174,need help to begin,2025-01-25 09:05:20+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000175,random errors when saving,2025-01-26 11:20:55+00:00,webchat,incident,performance_outage,pro,16,High
ND-2025-000176,what is your data retention policy?,2025-01-27 13:45:30+00:00,email,service_request,account_admin,pro,11,Low
ND-2025-000177,payment issue need to resolve asap,2025-01-28 08:30:05+00:00,phone,incident,billing_payments,standard,13,Urgent
ND-2025-000178,how do i use this?,2025-01-29 10:40:40+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000179,visual bug in header,2025-01-30 14:15:15+00:00,webchat,incident,bug,standard,6,Medium
ND-2025-000180,cannot invite new team member,2025-01-31 09:00:50+00:00,email,service_request,access_permissions,standard,4,Medium
ND-2025-000181,tutorial please,2025-01-08 15:30:25+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000182,filter logic is flawed,2025-01-15 11:05:00+00:00,in_app,incident,data_reporting,pro,8,High
ND-2025-000183,config help,2025-01-22 08:55:35+00:00,webchat,service_request,how_to_training,standard,3,Medium
ND-2025-000184,xero api is down affecting connector,2025-01-29 14:20:10+00:00,email,incident,integrations,pro,12,Medium
ND-2025-000185,getting started help,2025-01-31 10:45:45+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000400,need a vat receipt for the last orbit id subscription payment cheers,2025-03-01 08:15:22+00:00,email,service_request,billing_payments,pro,12,Medium
ND-2025-000401,how do i remove a user from our polaris board access list?,2025-03-01 09:02:10+00:00,webchat,service_request,account_admin,standard,24,Low
ND-2025-000402,the invoice amount for the enterprise tier doesn't look right for march,2025-03-01 09:30:45+00:00,email,incident,billing_payments,enterprise,6,High
ND-2025-000403,looking to upgrade to get more connectors can someone call me?,2025-03-01 10:12:05+00:00,phone,service_request,other,free,0,Low
ND-2025-000404,where do i download the vat invoice for my records?,2025-03-01 11:45:33+00:00,in_app,service_request,billing_payments,pro,18,Medium
ND-2025-000405,the polaris board widget for revenue is overlapping the footer,2025-03-01 13:20:12+00:00,email,incident,bug,standard,36,High
ND-2025-000406,i need to downgrade my plan before the next billing cycle,2025-03-01 14:05:55+00:00,webchat,service_request,billing_payments,pro,5,Medium
ND-2025-000407,urgent my credit card failed for the orbit id renewal,2025-03-01 15:18:29+00:00,email,incident,billing_payments,pro,10,Urgent
ND-2025-000408,we need the audit logs for q1 for our internal review,2025-03-02 08:45:10+00:00,email,service_request,account_admin,enterprise,40,Low
ND-2025-000409,i've been charged twice for the same connector add-on,2025-03-02 09:10:44+00:00,email,incident,billing_payments,standard,2,High
ND-2025-000410,ignore this just testing the chat,2025-03-02 10:25:30+00:00,webchat,service_request,other,free,0,Low
ND-2025-000411,can you send the vat receipt to my finance team directly?,2025-03-02 11:50:15+00:00,email,service_request,billing_payments,pro,15,Medium
ND-2025-000412,the mobile app crashes every time i open the polaris board,2025-03-02 13:05:00+00:00,phone,incident,bug,enterprise,22,Urgent
ND-2025-000413,does the pro tier include more orbit id seats?,2025-03-02 14:40:22+00:00,email,service_request,billing_payments,standard,3,Low
ND-2025-000414,need to update our company address for the invoices,2025-03-02 16:15:55+00:00,email,service_request,account_admin,pro,8,Medium
ND-2025-000415,vat invoice missing for feb please sort,2025-03-03 09:00:05+00:00,webchat,service_request,billing_payments,pro,12,Medium
ND-2025-000416,seo services for your website,2025-03-03 09:45:33+00:00,email,incident,other,free,0,Low
ND-2025-000417,we cancelled last week but got charged again refund please,2025-03-03 10:30:12+00:00,email,service_request,billing_payments,standard,5,High
ND-2025-000418,add john smith to the finance polaris board,2025-03-03 11:20:50+00:00,in_app,service_request,account_admin,enterprise,20,Low
ND-2025-000419,export to csv is failing on the sales widget,2025-03-03 13:10:05+00:00,email,incident,bug,pro,14,Medium
ND-2025-000420,copy of vat receipt thanks,2025-03-03 14:55:40+00:00,email,service_request,billing_payments,standard,9,Medium
ND-2025-000421,do you integrate with sage?,2025-03-03 16:40:15+00:00,webchat,service_request,other,free,1,Low
ND-2025-000422,payment keeps bouncing for our annual sub,2025-03-04 08:20:30+00:00,email,incident,billing_payments,pro,24,High
ND-2025-000423,change the billing email to accounts@company.com,2025-03-04 09:15:10+00:00,phone,service_request,account_admin,enterprise,30,Medium
ND-2025-000424,the link to the help docs from the widget settings is 404,2025-03-04 10:50:55+00:00,email,incident,bug,standard,7,Low
ND-2025-000425,urgently need vat invoice for tax return,2025-03-04 12:30:22+00:00,email,service_request,billing_payments,pro,11,Medium
ND-2025-000426,just browsing thanks,2025-03-04 14:10:45+00:00,webchat,service_request,other,free,0,Low
ND-2025-000427,the totals on the invoice do not match the polaris usage report,2025-03-04 15:55:12+00:00,email,incident,billing_payments,enterprise,18,High
ND-2025-000428,what is your data retention policy for cancelled accounts?,2025-03-05 09:05:30+00:00,email,service_request,account_admin,standard,36,Low
ND-2025-000429,charged twice for orbit id this month,2025-03-05 10:40:15+00:00,email,incident,billing_payments,pro,4,High
ND-2025-000430,buttons are misaligned on the connector page,2025-03-05 11:25:50+00:00,webchat,incident,bug,standard,8,Medium
ND-2025-000431,vat receipt please,2025-03-05 13:00:05+00:00,email,service_request,billing_payments,pro,13,Medium
ND-2025-000432,calling about a potential partnership,2025-03-05 14:35:25+00:00,phone,service_request,other,free,0,Low
ND-2025-000433,cannot remove a former employee from orbit id access,2025-03-06 08:50:40+00:00,email,incident,account_admin,enterprise,25,High
ND-2025-000434,i can't find the vat invoice in the settings,2025-03-06 09:40:12+00:00,email,service_request,billing_payments,pro,16,Medium
ND-2025-000435,polaris board looks weird on safari,2025-03-06 11:15:30+00:00,email,incident,bug,standard,5,Low
ND-2025-000436,how do i upgrade to enterprise?,2025-03-06 13:00:55+00:00,webchat,service_request,billing_payments,pro,2,Medium
ND-2025-000437,cheap meds for you,2025-03-06 14:45:10+00:00,email,incident,other,free,0,Low
ND-2025-000438,need vat receipt for accounting,2025-03-06 16:20:22+00:00,email,service_request,billing_payments,pro,10,Medium
ND-2025-000439,can't login to the app via orbit id,2025-03-07 09:10:45+00:00,in_app,incident,bug,standard,19,Medium
ND-2025-000440,stop sending me marketing emails please,2025-03-07 10:55:05+00:00,email,service_request,account_admin,pro,6,Low
ND-2025-000441,our account is locked due to failed payment fix this immediately,2025-03-07 12:30:30+00:00,email,incident,billing_payments,enterprise,28,Urgent
ND-2025-000442,how much is the pro plan?,2025-03-07 14:05:15+00:00,webchat,service_request,other,free,1,Low
ND-2025-000443,vat invoice for march thanks,2025-03-07 15:45:50+00:00,email,service_request,billing_payments,pro,14,Medium
ND-2025-000444,since the v2 update my polaris widgets are blank,2025-03-08 09:30:10+00:00,email,incident,bug,enterprise,30,High
ND-2025-000445,refund for the unused time on my subscription?,2025-03-08 11:15:35+00:00,email,service_request,billing_payments,standard,3,Medium
ND-2025-000446,i want to close my account and delete all data from orbit id,2025-03-08 13:00:00+00:00,phone,incident,account_admin,pro,12,High
ND-2025-000447,send vat receipt cheers,2025-03-08 14:40:22+00:00,email,service_request,billing_payments,pro,20,Medium
ND-2025-000448,be your own boss work from home,2025-03-09 08:55:45+00:00,email,incident,other,free,0,Low
ND-2025-000449,upgrade to pro please,2025-03-09 10:20:12+00:00,webchat,service_request,billing_payments,standard,8,Medium
ND-2025-000450,typo in the settings menu for connectors,2025-03-09 11:50:30+00:00,email,incident,bug,pro,15,Medium
ND-2025-000451,vat invoice required for end of year,2025-03-09 13:30:55+00:00,email,service_request,billing_payments,pro,11,Medium
ND-2025-000452,invoice address is still showing the old hq,2025-03-09 15:15:20+00:00,email,incident,billing_payments,enterprise,22,High
ND-2025-000453,need to add a consultant to the dashboard,2025-03-10 09:00:40+00:00,email,service_request,account_admin,standard,5,Low
