case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-000015,2026-01-01T00:00:00Z,2025-01-06 12:15:33+00:00,in_app,service_request,how_to_training,permissions_explainer,Low,48.0,6.0,,pending,,FALSE,support,,3,standard,South East,45-54,F,explain the difference between editor and viewer in orbit id roles,Neutral,,how_to; orbit_id; roles; permissions
ND-2025-000016,2026-01-01T00:00:00Z,2025-01-06 16:40:00+00:00,email,service_request,bug,broken_link,Low,72.0,18.5,45.2,solved,fixed,FALSE,engineering,,10,pro,North West,25-34,M,link to the knowledge base in the footer 404s,Neutral,4,bug; 404; broken_link; docs
ND-2025-000017,2026-01-01T00:00:00Z,2025-01-07 09:05:22+00:00,webchat,incident,access_permissions,account_locked,Urgent,4.0,0.3,1.2,solved,fixed,FALSE,support,,2,standard,East Midlands,18-24,F,locked out of my account after too many tries,Negative,5,locked_out; orbit_id; login; security
ND-2025-000018,2026-01-01T00:00:00Z,2025-01-07 10:30:11+00:00,email,service_request,how_to_training,feature_how_to,Medium,24.0,3.2,,on_hold,,FALSE,support,,4,pro,London,35-44,M,how do i filter the polaris widget by fiscal year?,Neutral,,how_to; filter; polaris; widget
ND-2025-000019,2026-01-01T00:00:00Z,2025-01-07 14:20:55+00:00,email,incident,billing_payments,payment_failed,High,8.0,1.8,,open,,TRUE,billing,support,15,enterprise,Scotland,45-54,F,payment failed notification received but card is valid,Negative,,payment; credit_card; stripe; error
ND-2025-000020,2026-01-01T00:00:00Z,2025-01-08 08:15:40+00:00,in_app,service_request,data_reporting,missing_data,High,8.0,4.5,10.2,solved,answered,FALSE,data,,7,pro,South West,25-34,M,data missing from q4 summary widget,Negative,3,missing_data; widget; polaris; report
ND-2025-000021,2026-01-01T00:00:00Z,2025-01-08 09:45:12+00:00,webchat,service_request,other,sales_inquiry,Low,48.0,2.0,2.5,solved,answered,FALSE,support,,0,free,London,35-44,F,interested in upgrading to enterprise for the sso features,Neutral,,sales; inquiry; enterprise_tier; sso
ND-2025-000022,2026-01-01T00:00:00Z,2025-01-08 11:55:05+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.1,,new,,FALSE,support,,1,standard,Northern Ireland,25-34,M,where do i start with creating a new report?,Neutral,,how_to; report; onboarding; start
ND-2025-000023,2026-01-01T00:00:00Z,2025-01-08 15:10:30+00:00,email,incident,bug,export_bug,Medium,24.0,6.5,,open,,FALSE,engineering,,9,pro,Yorkshire,45-54,F,pdf export formatting is misaligned,Neutral,,bug; export; pdf; formatting
ND-2025-000024,2026-01-01T00:00:00Z,2025-01-09 08:50:00+00:00,phone,incident,security_privacy,suspicious_activity,Urgent,2.0,0.1,1.5,solved,fixed,TRUE,security,,18,enterprise,London,35-44,M,unrecognized login attempt flagged on orbit id,Negative,5,security; suspicious_login; orbit_id; alert
ND-2025-000025,2026-01-01T00:00:00Z,2025-01-09 10:25:15+00:00,webchat,service_request,how_to_training,troubleshooting_steps,Medium,24.0,1.5,3.2,solved,answered,FALSE,support,,5,standard,West Midlands,25-34,F,my widgets aren't refreshing automatically,Neutral,4,how_to; widget; refresh; troubleshooting
ND-2025-000026,2026-01-01T00:00:00Z,2025-01-09 13:40:50+00:00,email,service_request,account_admin,billing_contact_update,Low,48.0,22.1,,open,,FALSE,billing,,11,pro,East of England,45-54,M,update billing contact to finance@company.com,Neutral,,admin; settings; email_prefs; billing
ND-2025-000027,2026-01-01T00:00:00Z,2025-01-10 09:00:22+00:00,in_app,incident,performance_outage,intermittent_errors,High,8.0,3.2,,pending,,TRUE,engineering,,6,standard,London,25-34,F,getting random 500 errors when saving polaris boards,Negative,,500_error; polaris; save; intermittent
ND-2025-000028,2026-01-01T00:00:00Z,2025-01-10 11:15:33+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,4.8,,new,,FALSE,support,,1,standard,North West,18-24,M,is there a video tutorial for the hubspot connector?,Neutral,,how_to; video_tutorial; hubspot; connector
ND-2025-000029,2026-01-01T00:00:00Z,2025-01-10 14:50:45+00:00,webchat,incident,bug,mobile_issue,Medium,24.0,1.2,4.5,solved,fixed,FALSE,engineering,,8,pro,Scotland,35-44,F,app crashes when viewing large charts on iphone,Negative,3,bug; mobile; crash; ios
ND-2025-000030,2026-01-01T00:00:00Z,2025-01-11 08:30:10+00:00,email,service_request,how_to_training,configuration,Medium,24.0,6.0,,open,,FALSE,support,,2,free,London,25-34,M,help me set up,Neutral,,how_to; setup; configuration; polaris
ND-2025-000031,2026-01-01T00:00:00Z,2025-01-11 10:05:55+00:00,email,service_request,integrations,mapping_error,High,8.0,3.5,14.2,solved,fixed,FALSE,engineering,,13,pro,South East,45-54,M,xero fields not mapping correctly to polaris widgets,Negative,4,mapping; xero; widget; connector
ND-2025-000032,2026-01-01T00:00:00Z,2025-01-11 13:20:20+00:00,webchat,incident,access_permissions,password_reset,Medium,24.0,0.5,1.1,solved,fixed,FALSE,support,,4,standard,Yorkshire,25-34,F,forgot password for orbit id,Neutral,5,password; orbit_id; login; reset
ND-2025-000033,2026-01-01T00:00:00Z,2025-01-12 09:15:00+00:00,email,service_request,how_to_training,documentation_clarification,Low,48.0,16.5,,pending,,FALSE,support,,3,pro,London,35-44,M,docs are unclear about api rate limits,Neutral,,how_to; docs; api; limit
ND-2025-000034,2026-01-01T00:00:00Z,2025-01-12 11:40:15+00:00,in_app,service_request,bug,ui_glitch,Low,48.0,5.2,8.8,solved,workaround,FALSE,engineering,,5,standard,West Midlands,25-34,F,colour palette looks wrong in dark mode,Neutral,4,bug; ui; glitch; display
ND-2025-000035,2026-01-01T00:00:00Z,2025-01-12 15:05:30+00:00,email,incident,data_reporting,incorrect_filtering,High,8.0,2.8,,open,,FALSE,data,,10,pro,North East,45-54,M,date filter excludes the last day of the month,Negative,,filter; polaris; incorrect_filtering; bug
ND-2025-000036,2026-01-01T00:00:00Z,2025-01-13 08:45:50+00:00,phone,incident,billing_payments,refund_request,Urgent,4.0,0.2,4.1,solved,fixed,TRUE,billing,support,2,standard,London,55-64,F,requesting refund for accidental annual subscription,Negative,,refund; subscription; billing; error
ND-2025-000037,2026-01-01T00:00:00Z,2025-01-13 10:10:12+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.5,,new,,FALSE,support,,1,standard,South West,25-34,M,adding a polaris board seems complicated,Neutral,,how_to; polaris; onboarding; setup
ND-2025-000038,2026-01-01T00:00:00Z,2025-01-13 12:30:05+00:00,webchat,service_request,access_permissions,invite_user,Medium,24.0,1.0,2.5,solved,answered,FALSE,support,,7,pro,Wales,35-44,F,need to invite a contractor to view one board only,Neutral,5,invite; user_management; permissions; polaris
ND-2025-000039,2026-01-01T00:00:00Z,2025-01-13 16:00:40+00:00,email,incident,performance_outage,database_slow,Urgent,4.0,0.5,3.5,solved,fixed,TRUE,engineering,,30,enterprise,London,45-54,M,reports are timing out completely,Negative,2,timeout; slow; database; 500_error
ND-2025-000040,2026-01-01T00:00:00Z,2025-01-14 09:20:25+00:00,email,service_request,how_to_training,feature_how_to,Low,48.0,10.1,,open,,FALSE,support,,2,standard,East Midlands,25-34,F,how do i customize the widget axis?,Neutral,,how_to; widget; configuration; polaris
ND-2025-000041,2026-01-01T00:00:00Z,2025-01-14 11:50:15+00:00,in_app,service_request,other,wrong_number,Low,48.0,1.5,1.6,solved,cancelled,FALSE,support,,0,free,London,18-24,M,is this the pizza place?,Neutral,,other; miscellaneous; wrong_number; spam
ND-2025-000042,2026-01-01T00:00:00Z,2025-01-14 14:15:33+00:00,email,incident,integrations,webhook_failure,High,8.0,3.1,9.5,solved,fixed,FALSE,engineering,,16,pro,North West,35-44,M,webhooks for updated deals aren't firing,Negative,4,webhook; connector; api; failure
ND-2025-000043,2026-01-01T00:00:00Z,2025-01-15 08:40:00+00:00,webchat,service_request,how_to_training,onboarding_help,Medium,24.0,2.2,6.1,solved,answered,FALSE,support,,1,standard,Yorkshire,25-34,F,guide me through the dashboard setup please,Neutral,5,how_to; dashboard; setup; onboarding
ND-2025-000044,2026-01-01T00:00:00Z,2025-01-15 10:05:45+00:00,email,incident,bug,regression_after_update,High,8.0,4.0,,open,,TRUE,engineering,,12,pro,London,45-54,M,latest v2 update broke my custom css,Negative,,regression; v2_update; bug; ui
ND-2025-000045,2026-01-01T00:00:00Z,2025-01-15 13:25:20+00:00,email,service_request,access_permissions,role_assignment,Medium,24.0,5.8,,pending,,FALSE,support,,4,standard,South East,35-44,F,change user role from viewer to admin,Neutral,,admin; role_assignment; orbit_id; permissions
ND-2025-000046,2026-01-01T00:00:00Z,2025-01-16 09:10:10+00:00,phone,incident,account_admin,account_closure,Urgent,4.0,0.1,2.0,solved,answered,FALSE,support,,6,standard,London,25-34,M,cancel my account immediately,Negative,2,closure; account_closure; admin; retention
ND-2025-000047,2026-01-01T00:00:00Z,2025-01-16 11:30:55+00:00,webchat,service_request,how_to_training,onboarding_help,Medium,24.0,1.2,5.5,solved,answered,FALSE,engineering,,1,free,North East,18-24,F,how to use northstar?,Neutral,4,how_to; onboarding; polaris; help_center
ND-2025-000048,2026-01-01T00:00:00Z,2025-01-16 14:45:30+00:00,email,incident,data_reporting,timezone_confusion,Medium,24.0,3.5,8.2,solved,answered,FALSE,data,,5,standard,West Midlands,35-44,M,timestamps on the board are in utc not gmt,Neutral,5,timezone; polaris; report; configuration
ND-2025-000049,2026-01-01T00:00:00Z,2025-01-17 08:20:05+00:00,in_app,service_request,how_to_training,feature_how_to,Low,48.0,7.2,,open,,FALSE,support,,3,standard,London,25-34,F,can i embed a polaris widget in an external site?,Neutral,,how_to; widget; embedding; polaris
ND-2025-000050,2026-01-01T00:00:00Z,2025-01-17 10:55:40+00:00,email,incident,bug,browser_compatibility,Medium,24.0,6.1,,pending,,FALSE,engineering,,9,pro,South West,45-54,M,menu doesn't open on firefox,Negative,,bug; firefox; ui; glitch
ND-2025-000051,2026-01-01T00:00:00Z,2025-01-17 13:15:15+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,4.5,18.2,solved,answered,FALSE,support,,1,standard,Wales,25-34,F,complete newbie here need help with polaris boards,Neutral,5,how_to; onboarding; polaris; training
ND-2025-000052,2026-01-01T00:00:00Z,2025-01-18 09:30:50+00:00,webchat,incident,access_permissions,mfa_reset,Urgent,4.0,0.5,1.5,solved,fixed,FALSE,security,,22,enterprise,London,35-44,M,lost my phone need 2fa reset for orbit id,Negative,5,mfa; 2fa; orbit_id; reset
ND-2025-000053,2026-01-01T00:00:00Z,2025-01-18 11:45:22+00:00,email,service_request,how_to_training,best_practice,Low,72.0,24.5,,open,,FALSE,support,,8,pro,Scotland,45-54,F,best practices for structuring data for the connector?,Neutral,,best_practice; connector; data; structure
ND-2025-000054,2026-01-01T00:00:00Z,2025-01-18 15:00:10+00:00,email,incident,billing_payments,vat_receipt,Low,48.0,12.1,26.5,solved,answered,FALSE,billing,,10,standard,London,35-44,M,need a vat receipt for december,Neutral,5,vat; invoice; billing; receipt
ND-2025-000055,2026-01-01T00:00:00Z,2025-01-19 08:50:35+00:00,in_app,service_request,bug,screen_freeze,High,8.0,1.8,,open,,FALSE,engineering,,4,standard,North West,25-34,F,screen freezes when i click the export button,Negative,,screen_freeze; bug; export; ui
ND-2025-000056,2026-01-01T00:00:00Z,2025-01-19 10:15:05+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.2,,new,,FALSE,support,,1,standard,Yorkshire,25-34,M,where is the tutorial for new users?,Neutral,,how_to; tutorial; onboarding; help_center
ND-2025-000057,2026-01-01T00:00:00Z,2025-01-19 13:40:40+00:00,webchat,incident,integrations,third_party_outage,High,8.0,0.9,4.2,solved,workaround,FALSE,engineering,,14,pro,London,35-44,M,shopify connector says service unavailable,Negative,4,connector; shopify; outage; error
ND-2025-000058,2026-01-01T00:00:00Z,2025-01-20 09:05:15+00:00,email,service_request,how_to_training,examples_needed,Low,48.0,15.5,,pending,,FALSE,support,,3,free,East Midlands,18-24,F,examples of kpi dashboards please,Neutral,,how_to; kpi; dashboard; examples
ND-2025-000059,2026-01-01T00:00:00Z,2025-01-20 11:25:55+00:00,phone,incident,performance_outage,full_outage,Urgent,4.0,0.1,3.8,solved,fixed,TRUE,engineering,,25,enterprise,London,45-54,M,total system down 500 errors everywhere,Negative,1,full_outage; 500_error; crash; downtime
ND-2025-000060,2026-01-01T00:00:00Z,2025-01-20 14:55:30+00:00,email,service_request,access_permissions,password_reset,Medium,24.0,2.1,4.5,solved,fixed,FALSE,support,,6,standard,South East,35-44,F,reset password link expired,Neutral,5,password; login; orbit_id; reset
ND-2025-000061,2026-01-01T00:00:00Z,2025-01-21 08:35:10+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,4.9,,open,,FALSE,support,,1,standard,North East,25-34,M,help setting up the first board,Neutral,,how_to; polaris; setup; onboarding
ND-2025-000062,2026-01-01T00:00:00Z,2025-01-21 10:40:45+00:00,in_app,service_request,data_reporting,delayed_refresh,Medium,24.0,3.5,9.1,solved,answered,FALSE,data,,8,pro,West Midlands,35-44,F,why does the widget take 10 mins to refresh?,Neutral,4,widget; refresh; slow; polaris
ND-2025-000063,2026-01-01T00:00:00Z,2025-01-21 13:15:20+00:00,webchat,incident,bug,app_crash,High,8.0,1.2,,open,,FALSE,engineering,,5,standard,London,25-34,M,it crashed,Negative,,crash; bug; mobile; error
ND-2025-000064,2026-01-01T00:00:00Z,2025-01-22 09:00:00+00:00,email,service_request,how_to_training,permissions_explainer,Low,48.0,8.5,,pending,,FALSE,support,,2,standard,South West,45-54,F,what can a viewer do on a polaris board?,Neutral,,how_to; permissions; roles; polaris
ND-2025-000065,2026-01-01T00:00:00Z,2025-01-22 11:30:35+00:00,email,incident,billing_payments,plan_change_billing,Medium,24.0,6.2,14.5,solved,fixed,FALSE,billing,,11,pro,London,35-44,M,downgraded to standard but still charged pro rate,Negative,3,downgrade; pro_tier; billing; error
ND-2025-000066,2026-01-01T00:00:00Z,2025-01-22 14:50:10+00:00,webchat,service_request,access_permissions,sso_setup,High,8.0,2.5,,open,,FALSE,support,,20,enterprise,North West,45-54,M,need assistance configuring google auth for orbit id,Neutral,,sso; google_auth; orbit_id; configuration
ND-2025-000067,2026-01-01T00:00:00Z,2025-01-23 08:45:55+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.8,,new,,FALSE,support,,1,standard,Scotland,25-34,F,start guide for northstar?,Neutral,,how_to; onboarding; docs; guide
ND-2025-000068,2026-01-01T00:00:00Z,2025-01-23 10:20:25+00:00,phone,incident,security_privacy,gdpr_request,Urgent,48.0,0.5,24.5,solved,answered,FALSE,security,,9,pro,London,35-44,M,data deletion request under gdpr,Neutral,5,gdpr; privacy; compliance; deletion
ND-2025-000069,2026-01-01T00:00:00Z,2025-01-23 13:10:40+00:00,email,service_request,other,partnership_request,Low,48.0,26.2,,on_hold,,FALSE,support,,0,free,Wales,25-34,F,do you have an agency partnership program?,Neutral,,partnership; sales; inquiry; other
ND-2025-000070,2026-01-01T00:00:00Z,2025-01-24 09:15:15+00:00,in_app,service_request,how_to_training,troubleshooting_steps,Medium,24.0,3.1,7.8,solved,answered,FALSE,support,,4,standard,East of England,35-44,M,my connector says connected but no data appearing,Negative,4,how_to; troubleshooting; connector; missing_data
ND-2025-000071,2026-01-01T00:00:00Z,2025-01-24 11:40:50+00:00,email,incident,bug,broken_link,Low,48.0,12.5,,open,,FALSE,engineering,,7,pro,Yorkshire,25-34,F,broken link,Neutral,,broken_link; bug; 404; docs
ND-2025-000072,2026-01-01T00:00:00Z,2025-01-24 14:25:30+00:00,webchat,service_request,how_to_training,onboarding_help,Medium,24.0,1.5,4.2,solved,answered,FALSE,support,,1,standard,London,18-24,M,how do i add my first polaris board?,Neutral,5,how_to; polaris; setup; onboarding
ND-2025-000073,2026-01-01T00:00:00Z,2025-01-25 08:55:05+00:00,email,incident,performance_outage,login_service_down,Urgent,4.0,0.2,2.5,solved,fixed,TRUE,engineering,,35,enterprise,North East,45-54,M,nobody can log in via orbit id right now,Negative,2,login; orbit_id; downtime; 500_error
ND-2025-000074,2026-01-01T00:00:00Z,2025-01-25 10:50:45+00:00,email,service_request,account_admin,audit_log_request,Medium,24.0,5.5,,pending,,FALSE,support,,13,pro,South East,35-44,F,need audit logs for user activity last week,Neutral,,audit_log; admin; history; security
ND-2025-000075,2026-01-01T00:00:00Z,2025-01-25 13:30:10+00:00,in_app,service_request,how_to_training,feature_how_to,Low,48.0,9.2,,open,,FALSE,support,,3,standard,London,25-34,M,how to share a board link?,Neutral,,how_to; sharing; polaris; link
ND-2025-000076,2026-01-01T00:00:00Z,2025-01-26 09:10:35+00:00,webchat,incident,integrations,rate_limit_hit,High,8.0,1.8,5.5,solved,workaround,FALSE,engineering,,12,pro,West Midlands,35-44,F,api rate limit exceeded on salesforce connector,Negative,4,rate_limit; api; salesforce; connector
ND-2025-000077,2026-01-01T00:00:00Z,2025-01-26 11:25:20+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,6.1,,new,,FALSE,support,,1,standard,South West,25-34,M,new account setup help,Neutral,,how_to; setup; onboarding; account
ND-2025-000078,2026-01-01T00:00:00Z,2025-01-26 14:45:55+00:00,email,incident,access_permissions,account_locked,Urgent,4.0,0.4,1.1,solved,fixed,FALSE,support,,5,standard,London,25-34,F,account locked please unlock,Negative,5,locked_out; login; orbit_id; security
ND-2025-000079,2026-01-01T00:00:00Z,2025-01-27 08:30:25+00:00,phone,incident,billing_payments,credit_card_update,Urgent,4.0,0.1,2.8,solved,fixed,FALSE,billing,,10,pro,North West,45-54,M,update credit card details before expiry,Neutral,5,credit_card; billing; payment; update
ND-2025-000080,2026-01-01T00:00:00Z,2025-01-27 10:15:40+00:00,webchat,service_request,how_to_training,configuration,Medium,24.0,2.5,6.5,solved,answered,FALSE,support,,2,standard,East Midlands,18-24,F,configuring the dashboard layout,Neutral,4,how_to; configuration; dashboard; layout
ND-2025-000081,2026-01-01T00:00:00Z,2025-01-27 13:00:15+00:00,email,incident,bug,v2_update,High,8.0,4.2,,open,,TRUE,engineering,,15,pro,London,35-44,M,v2 update broke my saved reports,Negative,,v2_update; regression; bug; report
ND-2025-000082,2026-01-01T00:00:00Z,2025-01-28 09:20:50+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,5.5,,new,,FALSE,support,,1,standard,Yorkshire,25-34,F,i need help with my first polaris board,Neutral,,how_to; polaris; help_center; onboarding
ND-2025-000083,2026-01-01T00:00:00Z,2025-01-28 11:45:30+00:00,in_app,service_request,data_reporting,export_issue,Medium,24.0,3.8,,pending,,FALSE,data,,6,standard,Wales,25-34,M,export button greyed out,Negative,,export; ui; bug; polaris
ND-2025-000084,2026-01-01T00:00:00Z,2025-01-28 14:30:10+00:00,webchat,incident,access_permissions,password_reset,Medium,24.0,0.9,2.2,solved,fixed,FALSE,support,,3,free,London,18-24,F,cant login,Negative,3,login; password; orbit_id; error
ND-2025-000085,2026-01-01T00:00:00Z,2025-01-29 08:50:45+00:00,email,service_request,how_to_training,best_practice,Low,48.0,14.1,,open,,FALSE,support,,9,pro,North East,35-44,M,best way to visualize churn data?,Neutral,,best_practice; visualization; polaris; churn
ND-2025-000086,2026-01-01T00:00:00Z,2025-01-29 10:40:20+00:00,email,incident,performance_outage,latency_spike,High,8.0,1.5,5.2,solved,fixed,FALSE,engineering,,18,enterprise,South West,45-54,M,severe lag when loading the main board,Negative,4,latency; slow; polaris; loading
ND-2025-000087,2026-01-01T00:00:00Z,2025-01-29 13:15:55+00:00,webchat,service_request,how_to_training,onboarding_help,Medium,24.0,2.1,4.8,solved,answered,FALSE,support,,1,standard,London,25-34,F,setting up the account,Neutral,5,how_to; account; setup; onboarding
ND-2025-000088,2026-01-01T00:00:00Z,2025-01-30 09:05:35+00:00,email,incident,billing_payments,invoice_error,Urgent,4.0,0.3,3.1,solved,fixed,TRUE,billing,support,12,pro,Scotland,35-44,F,invoice amount is wrong for january,Negative,,invoice; billing; error; dispute
ND-2025-000089,2026-01-01T00:00:00Z,2025-01-30 11:25:10+00:00,in_app,service_request,bug,ui_glitch,Low,48.0,6.5,,open,,FALSE,engineering,,5,standard,East Midlands,25-34,M,text overlapping on the settings page,Neutral,,bug; ui; glitch; settings
ND-2025-000090,2026-01-01T00:00:00Z,2025-01-30 14:50:45+00:00,email,service_request,how_to_training,examples_needed,Medium,24.0,5.8,,pending,,FALSE,support,,2,standard,South East,25-34,F,do you have templates for marketing dashboards?,Neutral,,how_to; templates; polaris; marketing
ND-2025-000091,2026-01-01T00:00:00Z,2025-01-31 08:30:20+00:00,webchat,incident,access_permissions,sso_setup,High,8.0,2.2,8.5,solved,fixed,FALSE,support,,14,enterprise,London,45-54,M,sso certificate expired on orbit id,Negative,5,sso; orbit_id; certificate; expired
ND-2025-000092,2026-01-01T00:00:00Z,2025-01-02 15:20:10+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,4.1,19.5,solved,answered,FALSE,support,,1,standard,North West,25-34,M,walkthrough for creating charts?,Neutral,4,how_to; chart; polaris; walkthrough
ND-2025-000093,2026-01-01T00:00:00Z,2025-01-03 09:55:40+00:00,email,incident,integrations,timeout_error,High,8.0,3.5,,open,,FALSE,engineering,,11,pro,West Midlands,35-44,F,hubspot sync timing out consistently,Negative,,timeout; hubspot; sync; connector
ND-2025-000094,2026-01-01T00:00:00Z,2025-01-04 13:40:25+00:00,webchat,service_request,account_admin,org_settings,Medium,24.0,1.5,3.2,solved,answered,FALSE,support,,7,pro,London,35-44,M,change organization name,Neutral,5,admin; settings; organization; update
ND-2025-000095,2026-01-01T00:00:00Z,2025-01-05 08:45:15+00:00,in_app,service_request,how_to_training,onboarding_help,Medium,24.0,2.8,,new,,FALSE,support,,1,standard,Yorkshire,18-24,F,new user guide please,Neutral,,how_to; guide; onboarding; docs
ND-2025-000096,2026-01-01T00:00:00Z,2025-01-06 11:30:50+00:00,email,incident,security_privacy,penetration_test_report,Low,72.0,26.5,,on_hold,,FALSE,security,,24,enterprise,London,35-44,M,submitting annual pen test results,Neutral,,security; penetration_test; compliance; report
ND-2025-000097,2026-01-01T00:00:00Z,2025-01-07 14:15:30+00:00,phone,incident,billing_payments,dunning,Urgent,4.0,0.1,2.0,solved,fixed,FALSE,billing,,5,standard,South West,45-54,F,received a dunning email but i paid yesterday,Negative,4,dunning; payment; billing; error
ND-2025-000098,2026-01-01T00:00:00Z,2025-01-08 09:10:05+00:00,email,service_request,how_to_training,feature_how_to,Low,48.0,12.2,,open,,FALSE,support,,3,standard,East of England,25-34,M,how do i archive an old polaris board?,Neutral,,how_to; archive; polaris; management
ND-2025-000099,2026-01-01T00:00:00Z,2025-01-09 11:55:45+00:00,webchat,incident,bug,mobile_issue,Medium,24.0,1.8,5.1,solved,fixed,FALSE,engineering,,8,pro,Wales,35-44,F,mobile view is broken on android,Negative,3,bug; mobile; android; ui
ND-2025-000100,2026-01-01T00:00:00Z,2025-01-10 15:20:10+00:00,email,service_request,access_permissions,password_reset,Medium,24.0,3.2,4.8,solved,fixed,FALSE,support,,2,standard,North East,25-34,M,reset password,Neutral,5,password; login; reset; orbit_id
ND-2025-000101,2026-01-01T00:00:00Z,2025-01-11 08:50:35+00:00,in_app,service_request,how_to_training,onboarding_help,Medium,24.0,4.5,,new,,FALSE,support,,1,standard,London,18-24,F,hi how do i use this,Neutral,,how_to; onboarding; polaris; help_center
